Date,Open,High,Low,Close,Volume,daily_return,SMA,EMA,symbol
2026-03-12,2.299999952316284,2.309999942779541,2.109999895095825,2.109999895095825,816877003,0.0,2.109999895095825,2.109999895095825,0020.HK
2026-03-13,2.0899999141693115,2.0899999141693115,1.9600000381469727,2.0399999618530273,1388060724,-0.03317532546115076,2.0749999284744263,2.0992306745969334,0020.HK
2026-03-16,2.049999952316284,2.069999933242798,1.9800000190734863,2.059999942779541,621021290,0.00980391240220757,2.069999933242798,2.0931951773942576,0020.HK
2026-03-17,2.069999933242798,2.140000104904175,2.049999952316284,2.059999942779541,439432649,0.0,2.0674999356269836,2.088088218222763,0020.HK
2026-03-18,2.069999933242798,2.109999895095825,2.049999952316284,2.0899999141693115,498987252,0.014563093312173425,2.071999931335449,2.0883823252914624,0020.HK
2026-03-19,2.009999990463257,2.059999942779541,2.009999990463257,2.0299999713897705,337831244,-0.028708107772046687,2.0559999465942385,2.079400424691202,0020.HK
2026-03-20,2.009999990463257,2.049999952316284,1.9800000190734863,2.0,400387267,-0.014778311237724773,2.047999954223633,2.0671849747387094,0020.HK
2026-03-23,1.9700000286102295,1.9700000286102295,1.8300000429153442,1.8700000047683716,750895521,-0.06499999761581421,2.009999966621399,2.0368488255125037,0020.HK
2026-03-24,1.909999966621399,1.9299999475479126,1.8700000047683716,1.909999966621399,422796471,0.021390353877556167,1.9799999713897705,2.0173336164523334,0020.HK
2026-03-25,1.9700000286102295,2.0199999809265137,1.8600000143051147,1.8799999952316284,862225277,-0.01570679157803201,1.9379999876022338,1.9962053670337634,0020.HK
2026-03-26,1.8899999856948853,1.8899999856948853,1.840000033378601,1.850000023841858,332402038,-0.01595743163077734,1.9019999980926514,1.9737122373119318,0020.HK
2026-03-27,1.850000023841858,1.8899999856948853,1.8200000524520874,1.8600000143051147,325112666,0.005405400180747089,1.8740000009536744,1.956218049157037,0020.HK
2026-03-30,1.809999942779541,1.8899999856948853,1.7999999523162842,1.8600000143051147,376703455,0.0,1.8720000028610229,1.9414152745644335,0020.HK
2026-03-31,1.8600000143051147,1.899999976158142,1.809999942779541,1.840000033378601,307459588,-0.01075267783478251,1.8580000162124635,1.9258129297666131,0020.HK
2026-04-01,1.8899999856948853,1.9199999570846558,1.8600000143051147,1.8899999856948853,440155042,0.02717388663546627,1.8600000143051147,1.9203032460632703,0020.HK
2026-04-02,1.8799999952316284,1.8899999856948853,1.8300000429153442,1.850000023841858,278102394,-0.021164001140624777,1.8600000143051147,1.9094873657215143,0020.HK
2026-04-08,1.9299999475479126,2.0399999618530273,1.9199999570846558,2.0299999713897705,646595651,0.09729726769090008,1.8940000057220459,1.928027766593554,0020.HK
2026-04-09,2.0199999809265137,2.0299999713897705,1.9700000286102295,1.9900000095367432,353471853,-0.019704414983633067,1.9200000047683716,1.9375619578155832,0020.HK
2026-04-10,2.0199999809265137,2.0799999237060547,2.0,2.009999990463257,356568334,0.010050241623450695,1.9539999961853027,1.9487062705306097,0020.HK
2026-04-13,2.0,2.0,1.9600000381469727,2.0,227921000,-0.004975119657066318,1.9759999990463257,1.9565976135259004,0020.HK
